metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
pearson_30s_r,15,15,0.23391501699220996,0.14526445494032694,0.3256122362240828,0.21494908080728423,0.1337294377752987,0.2967825124875748,0.01896593618492573,-0.10329864887639034,0.1402781361169341,0.1734450348520852,0.2238655160012322,0.18190372085385845,0.16796596432959324,welch_t,0.29667726151084123,0.7689163281326052,0.10833121895223127,cohen_d,0.10881582585045135,0.5778151062410415,Wake
pearson_30s_r,14,14,0.14429777178237008,-0.056423337754362146,0.3235732154401983,0.185753549413169,0.028542840162855358,0.34306100362015296,-0.04145577763079891,-0.2970406057335514,0.19242305138533616,0.14133413330943756,0.18911740971695093,0.3713497589290057,0.3098418471440354,welch_t,-0.32072406412923465,0.7510649674608245,-0.12122230187998377,cohen_d,0.21627932944794914,0.3603662656198977,N1
pearson_30s_r,15,15,0.20729063604425843,0.0925543184036499,0.31713463674595643,0.18149876414189553,0.10479075475045067,0.25350986017536414,0.0257918719023629,-0.10942200167121824,0.15651547178196373,0.21150787397901735,0.20196600570385798,0.22968209782576138,0.15179341465321408,welch_t,0.36283394274391845,0.7198697461625219,0.132488223379588,cohen_d,0.9562405633970371,0.858371576689374,N2
pearson_30s_r,15,15,0.26361051353005643,0.18927226994189217,0.3340962407795438,0.1265202361011255,0.02879445465471567,0.21246297446649118,0.13709027742893093,0.021180141681404804,0.2579536849332064,0.28748715477266173,0.15818779092794585,0.14642045312707844,0.1887525952764964,welch_t,2.2226019920538493,0.035020573141080466,0.8115794982692075,cohen_d,0.6328486790858601,0.07769729740673638,N3
pearson_30s_r,15,15,0.19717141894415088,0.10908906872642066,0.2863250856553419,0.21547738804133626,0.1235380615349463,0.3023495049428342,-0.018305969097185376,-0.14104898557337775,0.10751812841042369,0.1443641749591378,0.2964308719830427,0.18049506863460146,0.1837682987542536,welch_t,-0.2752455593683631,0.78514924271185,-0.10050546781278656,cohen_d,0.17635777205906678,0.12102034321352212,REM
