metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
hfc,15,15,237859.173092568,143110.42755030052,344284.1546941875,425200.4985837422,152582.94672952505,808061.4321956992,-187341.32549117418,-576974.3128425252,108075.81372004883,184518.14861425257,181533.06119378042,204657.9667874903,682515.0388016889,mann_whitney,112.0,1.0,0.004444444444444473,rank_biserial,0.04102284720432303,4.648180247098157e-05,Wake
hfc,15,15,247434.2190100984,97205.92906441199,449013.70281108574,327919.32981097564,64514.33486148672,768612.4048991374,-80485.11080087724,-543082.2397575675,281689.98671488464,105473.17477973443,90804.91159759348,371506.11568224896,763324.2195635125,mann_whitney,122.0,0.7089232340537643,-0.08444444444444454,rank_biserial,0.00010171212167058641,1.2999761971416876e-06,N1
hfc,15,15,164138.57296947844,91404.6613511448,248952.07966903155,277776.9358646589,63785.322502350646,627881.0917070925,-113638.36289518047,-465790.6280979306,130606.99697854265,130670.93193687762,83937.132637714,162474.24257532108,609800.9429150695,mann_whitney,127.0,0.5614474146848649,-0.12888888888888883,rank_biserial,0.010102799123535306,1.9399788889943287e-06,N2
hfc,15,15,138018.5941863416,74976.38533018896,216763.4016301476,295820.91441606305,56874.90217458233,686418.7260192782,-157802.32022972146,-547577.3489593065,103200.96261168554,124983.33950752793,70696.81553731853,147613.66798434558,682219.1862123257,mann_whitney,128.0,0.5338294217441396,-0.13777777777777778,rank_biserial,0.0021847692975048134,1.588493375763461e-06,N3
hfc,15,15,157925.06013655028,76973.22848355398,254958.04959620975,327696.80348615814,86465.58585810004,701578.387410358,-169771.74334960786,-544886.8596433558,94880.8715503606,68800.17700386372,107162.95268553641,184061.1988595958,652624.8864298216,mann_whitney,99.0,0.5897385933186072,0.12,rank_biserial,0.002103825831401486,4.414913101453393e-06,REM
