metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
hep_30s,15,15,4.060189582966937,3.1790825243282876,5.072174392752733,3.0402056274582425,2.201782393360294,4.3189832012672245,1.0199839555086947,-0.46418549038063217,2.3892281680138043,3.46397366911107,2.461103180194263,1.9563012153616945,2.23801302018973,mann_whitney,161.0,0.04648668639528603,-0.431111111111111,rank_biserial,0.06338675247703583,4.3599447260912355e-05,Wake
hep_30s,15,15,3.568000572523265,2.7143452042232643,4.606059667299952,2.98670430620366,1.8557905123262883,4.500133350352785,0.5812962663196051,-1.1470175700589513,2.142814407850199,2.897869457894625,2.4072922947346727,1.9476997544155903,2.7058010582005134,mann_whitney,160.0,0.05123941919274439,-0.4222222222222223,rank_biserial,0.003049021219002634,0.0001478359043059619,N1
hep_30s,15,15,3.2836667461566256,2.600420082475779,4.117849378612461,2.701329853105799,1.8466345278817777,4.079915980523523,0.5823368930508264,-0.9903325736417454,1.845114881440654,2.5868977272772886,2.1389218795773686,1.563536529453192,2.4730534871063723,mann_whitney,158.0,0.06196961991403871,-0.4044444444444444,rank_biserial,0.0023035733879139472,6.755621685348377e-06,N2
hep_30s,15,15,3.839552735524612,3.179131455069818,4.52842467483157,3.007827150664826,2.0285891242664165,4.59794018182357,0.831725584859786,-0.8917811320894923,2.112787655557722,3.6227123779560997,2.2911982010630463,1.3958287246076462,2.849697320487382,mann_whitney,176.0,0.008972024812814977,-0.5644444444444445,rank_biserial,0.5459538495048695,5.499932313349979e-06,N3
hep_30s,15,15,3.139761501373272,2.489586260201219,3.887378042997435,2.538186969069936,1.6811360863054574,3.9392069312516758,0.6015745323033359,-0.9833129318803806,1.8199438159456025,2.4327545813016864,1.9059381592261275,1.438741319321336,2.535079781827586,mann_whitney,167.0,0.02510289275359325,-0.48444444444444446,rank_biserial,0.013427695524534893,4.467965219248985e-06,REM
