metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
lfc,15,15,64206.21730760391,33701.34985488143,102005.04719544401,144398.73947027355,35872.856945072854,309114.18568807706,-80192.52216266963,-247506.43153632878,36827.031626676995,44670.80214112218,27866.767983772694,70258.53597641306,291967.452891865,mann_whitney,124.0,0.6482039260122094,-0.10222222222222221,rank_biserial,0.0009209990794834189,6.710646725381208e-06,Wake
lfc,15,15,52616.98053699492,21314.90756956088,90779.4333775846,116580.1635626156,8491.74885928709,314118.03571772994,-63963.18302562069,-265658.95289798616,61943.443952454814,17275.852132951055,11655.416489222263,71814.43524994451,356935.942459342,mann_whitney,139.0,0.28084201086629845,-0.23555555555555552,rank_biserial,0.0005999327815682424,3.197271565540063e-07,N1
lfc,15,15,37428.294995747165,21892.066805204286,55452.06539232136,107644.83359609693,11606.926051248382,283585.2347523377,-70216.53860034977,-247604.7158190225,32417.023365946206,33317.59227732977,16838.00724387145,34535.98628698077,323373.74935053074,mann_whitney,140.0,0.26275304114766074,-0.24444444444444446,rank_biserial,0.03304484391067782,2.992914149034614e-07,N2
lfc,15,15,28092.22977359232,14530.963181623256,45289.32611032986,99452.61859177858,9038.24770347265,262683.6917205258,-71360.38881818626,-235379.0672435875,24319.46588337286,16686.00615148172,11926.359668999829,31369.016612678468,298926.0175897431,mann_whitney,133.0,0.4067868333984651,-0.18222222222222229,rank_biserial,0.001866843786631228,3.4548987811774514e-07,N3
lfc,15,15,47954.50613530909,19456.690756276388,86368.79862683365,111471.27714538638,14861.743972817727,285654.886126249,-63516.77101007729,-246835.3788417147,49658.35108417446,11265.460192037008,20546.013642476184,70025.67963492217,321609.10572743847,mann_whitney,121.0,0.7400217511938185,-0.0755555555555556,rank_biserial,0.00011913979099901653,3.58923543876644e-07,REM
