metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
alpha,15,15,6.847439122770069e-12,2.0863421186863854e-12,1.4059285011270913e-11,7.752736555924602e-12,2.1692818829466475e-12,1.719784419165077e-11,-9.052974331545334e-13,-1.237278057777949e-11,9.102965274666762e-12,1.9524848672760118e-12,1.7048702823396208e-12,1.2733851853238843e-11,1.7456553614701107e-11,mann_whitney,116.0,0.9009714934164412,-0.03111111111111109,rank_biserial,4.842040832795444e-06,9.413321705068223e-07,Wake
alpha,15,15,2.4606138847414086e-12,1.7549736405877717e-12,3.221910940571818e-12,1.9482622191258125e-12,1.277379440601642e-12,2.736349821945883e-12,5.123516656155961e-13,-5.293447385820388e-13,1.5438722070258765e-12,1.9704358138894585e-12,1.1312964919870944e-12,1.511402224900319e-12,1.5143326013671548e-12,mann_whitney,143.0,0.21337370709311831,-0.2711111111111111,rank_biserial,0.3033920911413306,0.013774482282900154,N1
alpha,15,15,2.8561931038864584e-12,1.7095030823095003e-12,4.21602414960243e-12,1.5155511307941187e-12,1.099181561783251e-12,2.007113056291281e-12,1.3406419730923397e-12,1.1155847154458904e-13,2.806566882225234e-12,1.705524969023918e-12,1.1747707901606102e-12,2.62005761685728e-12,9.384973284741862e-13,mann_whitney,150.0,0.12486035998214667,-0.33333333333333326,rank_biserial,0.001280874716934461,0.04178179529649927,N2
alpha,15,15,3.07277639519861e-12,1.84335301554272e-12,4.703164768146035e-12,2.1508586630900124e-12,1.243281930233136e-12,3.662864032968267e-12,9.219177321085976e-13,-1.1316359897514006e-12,2.8840749637153657e-12,2.1220463757559944e-12,1.1332820766781647e-12,2.9761426551212503e-12,2.7221582115226348e-12,mann_whitney,142.0,0.22902896662469463,-0.26222222222222213,rank_biserial,0.0008209522118139108,2.524634904612548e-06,N3
alpha,15,15,2.593399700296166e-12,1.644560251991765e-12,3.698128712984019e-12,1.2885561481826199e-12,8.736656141753856e-13,1.843899727978881e-12,1.304843552113546e-12,2.1408291268997093e-13,2.493039017971728e-12,1.854694056994041e-12,8.461393621210261e-13,2.1047235713491006e-12,9.908245380618742e-13,mann_whitney,164.0,0.03439744889250225,-0.45777777777777784,rank_biserial,0.007915468121714198,0.0018340794380309789,REM
