metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
delta,15,15,2.9392396657351665e-11,8.486804834466855e-12,5.911715006356466e-11,3.282314550895074e-11,6.598353857505146e-12,7.641050451903199e-11,-3.430748851599075e-12,-5.593375429938126e-11,3.9463020865570676e-11,8.88354505366332e-12,5.669877620615933e-12,5.3491265035996245e-11,8.073725795491074e-11,mann_whitney,155.0,0.08149464839345506,-0.37777777777777777,rank_biserial,4.925135676983411e-06,9.069271441368897e-07,Wake
delta,15,15,8.675503843527068e-12,5.279490096249136e-12,1.2521469771266369e-11,6.830375632849978e-12,2.6509514719357447e-12,1.2100143818725971e-11,1.84512821067709e-12,-4.415592848491515e-12,7.524533654163108e-12,6.571936546906256e-12,2.139918580380762e-12,7.443276682408791e-12,9.789358104962126e-12,mann_whitney,145.0,0.1844100692216365,-0.288888888888889,rank_biserial,0.08133165806967017,7.008415659782118e-05,N1
delta,15,15,1.1932982366368344e-11,6.8968639594315675e-12,2.0241442744323622e-11,7.814169141651859e-12,3.853052037735082e-12,1.2906304563605032e-11,4.118813224716486e-12,-3.6594088555018915e-12,1.3655240013145435e-11,7.812719050583165e-12,5.2728694260401905e-12,1.4723436544666453e-11,9.458770500178593e-12,mann_whitney,162.0,0.04211061679180699,-0.43999999999999995,rank_biserial,4.555793261866895e-06,0.00010377501238260831,N2
delta,15,15,1.506842935712563e-11,1.0001479944912643e-11,2.1291180010726256e-11,7.756292114419005e-12,5.636931569056668e-12,1.0124563664395183e-11,7.312137242706625e-12,1.7232599253059042e-12,1.3888986023909027e-11,1.21459957399013e-11,6.107860726395397e-12,1.1602105189684963e-11,4.5177207471298185e-12,mann_whitney,164.0,0.03439744889250225,-0.45777777777777784,rank_biserial,0.0037810524469311163,0.06846407604064392,N3
delta,15,15,1.0004159749265659e-11,6.395430098727431e-12,1.369740354159132e-11,3.738663046996044e-12,2.5619886081254017e-12,5.090704795605878e-12,6.265496702269615e-12,2.4401831376235314e-12,1.0135968529802577e-11,9.246251908371346e-12,3.737557358030342e-12,7.409953662043815e-12,2.5881183540510613e-12,welch_t,3.091650841802664,0.006496369432707307,1.1289112706567697,cohen_d,0.06055851941593043,0.23633478388278673,REM
