stage,metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,p_fdr_bh,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,metric_name
Wake,all_power_eeg,15,15,6.228859547539797e-11,1.9230853786391554e-11,1.2412308811395822e-10,6.899099675864718e-11,1.6815049549675102e-11,1.5771584158623474e-10,-6.702401283249205e-12,-1.1384757463959539e-10,8.125414004071704e-11,2.011288503736596e-11,1.7028516408315907e-11,1.098474745918301e-10,1.6582411868376323e-10,mann_whitney,129.0,0.506914933812496,0.506914933812496,-0.14666666666666672,rank_biserial,2.4432635507511536e-06,6.805458428192426e-07,all_power_eeg
N1,all_power_eeg,15,15,1.9409522417418036e-11,1.4073526263476261e-11,2.5215425220808804e-11,1.440863493050628e-11,9.524956813971247e-12,1.988983863329999e-11,5.000887486911756e-12,-2.659337910806889e-12,1.2742818018686757e-11,1.9727656806269206e-11,1.4362481350853216e-11,1.1425276028067059e-11,1.085570758344674e-11,mann_whitney,147.0,0.15846460599820356,0.19808075749775444,-0.30666666666666664,rank_biserial,0.4928454901767101,0.040231618317859354,all_power_eeg
N2,all_power_eeg,15,15,2.404449067295602e-11,1.5084343938249838e-11,3.69864810739178e-11,1.4650219727062487e-11,9.716600798477962e-12,2.042061325166752e-11,9.394270945893534e-12,-1.2907762313155602e-12,2.336566873184689e-11,1.4495446919340685e-11,1.2313682484288595e-11,2.281444655684701e-11,1.1146244877288241e-11,mann_whitney,149.0,0.13538211004560674,0.19808075749775444,-0.32444444444444454,rank_biserial,0.00014224906281950798,0.033104922384125025,all_power_eeg
N3,all_power_eeg,15,15,2.835323544063206e-11,1.9454641288650657e-11,3.881403871581055e-11,1.838954969907255e-11,1.1511761173716197e-11,2.8644482474942683e-11,9.96368574155951e-12,-3.892898753514056e-12,2.297123379682503e-11,2.3958921236259024e-11,1.1194799872110335e-11,2.0035758448596438e-11,1.8138493667469734e-11,mann_whitney,161.0,0.04648668639528603,0.11621671598821508,-0.431111111111111,rank_biserial,0.010765165434304941,2.8541053268103646e-05,all_power_eeg
REM,all_power_eeg,15,15,2.1061152865613096e-11,1.50449912677635e-11,2.702396600538785e-11,9.252216933849627e-12,6.625370068408712e-12,1.2259327392673756e-11,1.180893593176347e-11,5.118773170922959e-12,1.843505427546417e-11,2.3755126562350598e-11,6.889619376332161e-12,1.220264649023295e-11,5.818361598598137e-12,welch_t,3.3831269974453724,0.0029457957638882168,0.014728978819441085,1.2353433142703687,cohen_d,0.4365048463433468,0.09864577918072347,all_power_eeg
