metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
beta,15,15,8.471937449944792e-12,2.9396041270003817e-12,1.7024274126196964e-11,8.188368695833271e-12,2.3904142212017225e-12,1.7957525147475477e-11,2.835687541115205e-13,-1.1869552696803676e-11,1.1429101468755149e-11,3.072044432745026e-12,2.0964181743391294e-12,1.5068937000108302e-11,1.8058927678304935e-11,mann_whitney,135.0,0.3614963660708982,-0.19999999999999996,rank_biserial,3.73277380731006e-06,9.488875051869018e-07,Wake
beta,15,15,3.486361911322435e-12,2.1349692033387797e-12,5.263869100135448e-12,2.262148376945819e-12,1.2741563617187881e-12,3.604989500828614e-12,1.2242135343766158e-12,-6.439368217837953e-13,3.2820990143334674e-12,2.0906652751453646e-12,1.2338967852018338e-12,3.2409227963325226e-12,2.4015188795997165e-12,mann_whitney,163.0,0.03808828420629213,-0.4488888888888889,rank_biserial,0.0005874729112486783,4.916384480922133e-05,N1
beta,15,15,3.424837634596081e-12,1.9980112727850072e-12,5.5501478714836295e-12,1.6869600355767509e-12,1.0544852228957e-12,2.5613900564754912e-12,1.7378775990193302e-12,6.916351973896789e-14,3.952188792731191e-12,1.854930993961073e-12,1.1873312227842118e-12,3.762035105679634e-12,1.5442809382619667e-12,mann_whitney,170.0,0.01806662299891238,-0.5111111111111111,rank_biserial,3.9638735305118974e-05,0.0003100449642981034,N2
beta,15,15,3.2747401877813145e-12,1.9868298492798935e-12,5.0225427119763224e-12,2.8509570987286983e-12,9.6249766429346e-13,6.163441046400916e-12,4.237830890526162e-13,-3.4731977940843877e-12,3.260092044196044e-12,1.8291286926315175e-12,8.97992965302188e-13,3.1811827952813033e-12,6.083252432947029e-12,mann_whitney,169.0,0.020191414969204242,-0.5022222222222221,rank_biserial,0.00022265550509536884,7.089487970496182e-07,N3
beta,15,15,3.0105045762016874e-12,2.0062164341855635e-12,4.065754941066195e-12,1.499469677002035e-12,8.632802144243859e-13,2.470499437247576e-12,1.5110348991996523e-12,1.5024252271470968e-13,2.791176415388291e-12,1.7601750668803934e-12,8.655326856388432e-13,2.12409556410299e-12,1.6974991214695312e-12,mann_whitney,173.0,0.012821684691391543,-0.5377777777777777,rank_biserial,0.025459827821782886,2.1573133504083444e-05,REM
