metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
delta_30s,15,15,0.39747817568947924,0.3434596054575998,0.457885206770021,0.31076525058295107,0.2460510504992109,0.3705312559696149,0.08671292510652817,0.006709721669600959,0.17129428621320875,0.39184333293842905,0.3471233775501537,0.11780717110671268,0.1269252381577758,welch_t,1.9393302156006715,0.06265429997117021,0.70814327035723,cohen_d,0.09613437211857057,0.3508065093785142,Wake
delta_30s,15,15,0.3571091523222684,0.2778056109431852,0.43944454731673005,0.26688746901583726,0.21283366892464387,0.32088035808086995,0.09022168330643116,-0.005622545483936366,0.18945086894671317,0.34814411221231845,0.2563029687129566,0.1668079552970439,0.1115720579082165,welch_t,1.7411989172030757,0.09422598017986106,0.6357959493704631,cohen_d,0.5205598684630227,0.41951493729351075,N1
delta_30s,15,15,0.42240567940033913,0.37646644451248074,0.4657855087206363,0.3679017511323901,0.33268475919674617,0.4042755961412868,0.05450392826794903,-0.0034084814700877466,0.10950907987810221,0.43891053943551855,0.367302678402081,0.09138839283274068,0.07332636877804445,welch_t,1.8016083745153748,0.08289222980043948,0.6578543643415241,cohen_d,0.721773020555285,0.8150232221731195,N2
delta_30s,15,15,0.47978139083774934,0.4307815112846471,0.5303608609735082,0.47204278559080826,0.4283535915239427,0.5158744794625977,0.007738605246941088,-0.058403115890100867,0.07453937148708084,0.4939840418232811,0.47432791739011426,0.1013442953680902,0.08824021138054221,welch_t,0.2230414144971006,0.8251529347481038,0.08144320931861453,cohen_d,0.5290982721976317,0.8855044836250592,N3
delta_30s,15,15,0.38712175594625875,0.32335856668788426,0.4616403122205615,0.36735458437757257,0.3128633293502353,0.4214859602396321,0.01976717156868618,-0.06445831893503122,0.11000710628361265,0.3620602840577714,0.3835014540480701,0.14287838371110168,0.11020368560329664,mann_whitney,114.0,0.9669147771731937,-0.01333333333333342,rank_biserial,0.04144522764381824,0.6067379365675823,REM
