metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
gamma,15,15,7.866136762849592e-13,3.3646001308819496e-13,1.3873717633161635e-12,6.601712611338955e-13,2.5019847643803644e-13,1.2591949158069168e-12,1.2644241515106367e-13,-6.494040946078504e-13,8.843413530355822e-13,3.139979923425214e-13,2.729606750887447e-13,1.1073360448737783e-12,1.0887402716773452e-12,mann_whitney,133.0,0.4067868333984651,-0.18222222222222229,rank_biserial,2.901289346711149e-05,6.380520342962155e-06,Wake
gamma,15,15,2.653538271910035e-13,1.4099100377383944e-13,4.268032028216858e-13,1.4560008782375534e-13,8.413253770344376e-14,2.4185624544609163e-13,1.1975373936724816e-13,-3.640985111696942e-14,3.0024732416457947e-13,1.5840577419617226e-13,9.317126259450164e-14,2.995783285445167e-13,1.6930595095851017e-13,mann_whitney,158.0,0.06196961991403871,-0.4044444444444444,rank_biserial,9.72194507541934e-05,1.5232807874182991e-05,N1
gamma,15,15,1.88558871768171e-13,1.173865986773363e-13,2.758650538839292e-13,1.2152025031803137e-13,7.244438791058453e-14,2.0363404998845623e-13,6.703862145013963e-14,-4.4320459676741664e-14,1.728215628079409e-13,1.1589313990622225e-13,9.72852116837617e-14,1.6528593667457265e-13,1.4828190063422194e-13,mann_whitney,142.0,0.22902896662469463,-0.26222222222222213,rank_biserial,0.003404957085067401,2.2933204139760127e-06,N2
gamma,15,15,1.8990792148010654e-13,9.483546390056127e-14,3.0560924426573637e-13,3.5915004141350236e-13,4.744970294144191e-14,9.549682265190777e-13,-1.6924211993339582e-13,-8.122311030196111e-13,2.063564948526691e-13,1.1216151690459021e-13,5.608784644401369e-14,2.1771943686215308e-13,1.131498369114655e-12,mann_whitney,151.0,0.11498741920155964,-0.3422222222222222,rank_biserial,0.000533757364640803,1.7206509185952574e-07,N3
gamma,15,15,2.1630863862975346e-13,1.2654957621903373e-13,3.1306116357110387e-13,1.1094947685693049e-13,5.3572636456642925e-14,2.0997381613860973e-13,1.0535916177282297e-13,-3.132164567953706e-14,2.277274707979681e-13,1.0821885619058355e-13,6.11680763075772e-14,1.9437846854595412e-13,1.8166449220968766e-13,mann_whitney,159.0,0.05639236422683157,-0.41333333333333333,rank_biserial,0.002136088885270786,9.83690948066797e-07,REM
