metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p,stage
theta,15,15,1.679020856904649e-11,4.363877167422351e-12,3.4251864977490886e-11,1.956657473680467e-11,3.8178976191343984e-12,4.548087314960843e-11,-2.7763661677581816e-12,-3.500009688955368e-11,2.3860817516990657e-11,4.470971388863506e-12,4.608885465252835e-12,3.26696012524606e-11,4.9385189392638027e-11,mann_whitney,121.0,0.7400217511938185,-0.0755555555555556,rank_biserial,2.56085042653487e-06,5.756507220163448e-07,Wake
theta,15,15,4.521688950636117e-12,3.1288526685178394e-12,6.1153893858917245e-12,3.222248613760914e-12,2.3087093043435033e-12,4.367122276917037e-12,1.2994403368752033e-12,-4.834899147193098e-13,3.208823974647929e-12,3.972688875366369e-12,2.8789579613220255e-12,3.0850358644436276e-12,2.1124013830785675e-12,mann_whitney,141.0,0.24548500120312422,-0.2533333333333334,rank_biserial,0.13081643878444277,0.03778127458791711,N1
theta,15,15,5.641918696336968e-12,3.539321259170001e-12,8.630825286808275e-12,3.5120191687217268e-12,2.637474001060378e-12,4.5275937272866235e-12,2.1298995276152415e-12,-2.427623028837753e-13,5.258218081983907e-12,4.315096389343153e-12,3.3257729333397637e-12,5.280010492990505e-12,1.954469459064941e-12,mann_whitney,141.0,0.24548500120312422,-0.2533333333333334,rank_biserial,0.00030591031544113703,0.399659757176596,N2
theta,15,15,6.747381579046398e-12,4.624399386660011e-12,9.281533296486233e-12,5.272291781421327e-12,3.3398042269376863e-12,8.08296434036834e-12,1.475089797625071e-12,-2.108002666937171e-12,4.7608798303280405e-12,5.481470509459059e-12,3.638252811008964e-12,4.771091737918941e-12,4.9422871047895655e-12,mann_whitney,142.0,0.22902896662469463,-0.26222222222222213,rank_biserial,0.09274654490576477,6.530806637232125e-05,N3
theta,15,15,5.236780201219831e-12,3.5409561748952127e-12,7.122169302885209e-12,2.614578584812e-12,1.844234264435905e-12,3.5173728755899276e-12,2.622201616407831e-12,7.14092304775208e-13,4.701272161248739e-12,4.3692204986512724e-12,2.34260330684759e-12,3.666790799239693e-12,1.7101030381211606e-12,welch_t,2.5100936702123824,0.020869216489379595,0.9165566164175034,cohen_d,0.050503713902484856,0.05601376268655701,REM
